grp,pref,name,name2,cont_all,cont_for,incont,outcont,cont_jpn
国際戦略港湾,東京都,東京,京浜,"4,734,784","4,250,647","1,980,785","2,269,862","484,137"
国際戦略港湾,兵庫県,神戸,阪神,"2,801,160","2,140,547","1,149,661","990,886","660,613"
国際戦略港湾,神奈川県,横浜,京浜,"2,780,628","2,520,947","1,327,277","1,193,670","259,681"
国際拠点港湾,愛知県,名古屋,,"2,658,481","2,491,207","1,296,218","1,194,989","167,275"
国際戦略港湾,大阪府,大阪,阪神,"2,216,335","1,952,372","888,935","1,063,437","263,964"
国際拠点港湾,福岡県,博多,,"966,318","844,224","402,720","441,504","122,094"
重要/地方港湾,沖縄県,那覇,,"541,470","77,747","37,769","39,978","463,723"
国際拠点港湾,静岡県,清水,,"517,349","444,722","227,842","216,880","72,627"
国際拠点港湾,福岡県,北九州,,"517,297","448,555","229,835","218,720","68,742"
国際拠点港湾,北海道,苫小牧,,"316,965","201,286","96,485","104,801","115,679"
国際拠点港湾,広島県,広島,,"257,090","152,779","76,637","76,142","104,311"
国際拠点港湾,宮城県,仙台塩釜,,"246,615","156,051","77,829","78,223","90,564"
国際拠点港湾,新潟県,新潟,,"222,573","155,748","74,861","80,887","66,825"
国際拠点港湾,三重県,四日市,,"220,882","179,433","97,886","81,547","41,449"
国際拠点港湾,岡山県,水島,,"163,558","117,445","62,397","55,048","46,113"
国際拠点港湾,山口県,徳山下松,,"128,485","62,601","41,227","21,374","65,884"
重要/地方港湾,鹿児島県,鹿児島,,"126,107",664,295,369,"125,443"
国際戦略港湾,神奈川県,川崎,京浜,"111,977","83,780","39,707","44,073","28,197"
国際拠点港湾,千葉県,千葉,,"101,702","46,578","28,141","18,437","55,124"
重要/地方港湾,愛媛県,三島川之江,,"93,470","72,011","33,988","38,023","21,459"
重要/地方港湾,鹿児島県,志布志,,"89,116","70,132","35,070","35,062","18,984"
重要/地方港湾,香川県,高松,,"84,723","31,796","15,955","15,841","52,927"
重要/地方港湾,福井県,敦賀,,"79,860","42,247","21,044","21,203","37,613"
重要/地方港湾,秋田県,秋田,,"79,461","77,157","40,480","36,677","2,304"
重要/地方港湾,広島県,福山,,"75,473","68,884","32,662","36,222","6,589"
重要/地方港湾,愛媛県,新居浜,,"74,062",0,0,0,"74,062"
国際拠点港湾,富山県,伏木富山,,"70,879","70,036","34,888","35,148",843
重要/地方港湾,山口県,三田尻中関,,"61,713","25,768","15,719","10,049","35,945"
重要/地方港湾,石川県,金沢,,"60,956","60,956","30,612","30,344",0
重要/地方港湾,青森県,八戸,,"58,972","24,592","13,402","11,190","34,380"
重要/地方港湾,沖縄県,石垣,,"58,823",817,817,0,"58,006"
重要/地方港湾,新潟県,両津,,"58,776",0,0,0,"58,776"
重要/地方港湾,佐賀県,伊万里,,"56,197","51,487","24,654","26,833","4,710"
重要/地方港湾,大分県,大分,,"54,599","30,391","16,772","13,619","24,208"
